"","stockholm","göteborg","oslo","norway","copenhagen","denmark","helsinki","new york","umeå","malmö"
"2017-08-24",3,0,1,1,2,2,0,20,0,0
"2017-08-25",13,1,9,15,2,5,6,56,0,1
"2017-08-26",18,3,8,7,7,7,4,54,0,1
"2017-08-27",18,2,2,8,1,5,1,39,0,0
"2017-08-28",6,2,5,11,5,9,4,58,0,5
"2017-08-29",33,3,5,13,3,4,5,69,1,3
"2017-08-30",20,2,5,16,13,12,10,94,0,2
"2017-08-31",51,1,5,6,4,4,9,117,9,9
"2017-09-01",57,10,4,12,10,8,9,119,0,10
"2017-09-02",58,8,8,18,9,9,4,76,2,10
"2017-09-03",20,1,5,10,5,6,5,82,0,2
"2017-09-04",21,1,3,8,6,8,4,57,2,3
"2017-09-05",15,1,4,7,7,10,2,53,0,4
"2017-09-06",26,2,7,7,5,7,5,69,0,4
"2017-09-07",21,4,9,11,6,8,3,48,1,1
"2017-09-08",33,2,2,3,3,4,3,69,1,4
"2017-09-09",21,1,3,10,4,9,7,65,0,3
"2017-09-10",16,5,2,10,3,4,13,71,0,2
"2017-09-11",23,2,3,9,5,7,9,107,1,3
"2017-09-12",28,4,7,28,8,20,10,191,1,5
"2017-09-13",35,5,5,11,7,9,5,94,1,3
"2017-09-14",25,2,5,7,3,6,16,97,0,6
"2017-09-15",10,2,3,5,1,0,0,24,0,2
"2017-09-17",83,3,29,46,10,35,8,188,0,9
"2017-09-18",53,8,26,24,14,12,29,112,0,8
"2017-09-19",44,1,16,30,26,18,18,286,0,2
"2017-09-20",125,19,38,64,73,69,75,786,0,23
"2017-09-21",106,13,25,46,32,54,38,477,2,23
"2017-09-22",83,5,18,30,21,30,31,260,0,9
"2017-09-23",56,4,36,37,4,8,12,134,2,3
"2017-09-24",39,10,23,26,7,18,6,141,2,20
"2017-09-25",49,9,13,18,14,9,43,192,0,6
"2017-09-26",32,0,4,12,2,17,15,133,1,7
"2017-09-27",27,5,4,8,2,10,8,81,0,4
"2017-09-28",76,11,18,30,23,28,32,558,2,13
"2017-09-29",78,9,25,25,17,15,16,284,9,4
