"user_id","user_location","tweet_text","tweet_created_at","tweet_retweet_count","user_statuses_count","user_followers_count","user_friends_count","tweet_place","tweet_text_clean"
1382437711,"Oslo/Tarjei's dimple","RT @smilesnoora: guys!! i ran into willhelm at ikea today!! https://t.co/9taKzdl6yh","2017-08-24",8,33965,"3708",3704,"","   guys   i ran into willhelm at ikea today      t co  taKzdl yh"
6480152,"Belgrade - Oslo","sat vremena mog zivota pokusavajuci da kupim online sa #Ikea sajta, jer ne mozes da kupis online preko @IKEA_Srbija ako imas Mac!!!!","2017-08-25",0,10545,"2862",492,"","sat vremena mog zivota pokusavajuci da kupim online sa  Ikea sajta  jer ne mozes da kupis online preko ako imas Mac    "
6480152,"Belgrade - Oslo","a i preko mobilnog telefona, odnosno browsera na mobilnom, deo za kupovinu ne radi @IKEA_Srbija #fail","2017-08-25",0,10545,"2862",492,"","a i preko mobilnog telefona  odnosno browsera na mobilnom  deo za kupovinu ne radi  fail"
18690377,"Oslo","@skattebu IKEA-katalogen!","2017-08-25",0,22784,"715",259,""," IKEA katalogen "
25555130,"Oslo - Stockholm - Copenhagen","Som om ikke det å få IKEA-katalogen i postkassa var fett nok, kan du også møte IKEA (og oss) i Oslo i... https://t.co/CZVbikWEjY","2017-08-25",0,996,"595",619,"","Som om ikke det å få IKEA katalogen i postkassa var fett nok  kan du også møte IKEA  og oss  i Oslo i       t co CZVbikWEjY"
392045287,"Oslo, Norge","RT @heyingridhey: Altså Ikea dette er jo IKKE greit https://t.co/6et8xOu1MG","2017-08-25",13,69003,"5888",4427,"","   Altså Ikea dette er jo IKKE greit    t co  et xOu MG"
27485335,"Oslo, Norway, Noreg, Norge","RT @dezeen: BIG""s spiky towers will include 500 compact ""youth rooms"" with floorplans of 30 square metres https://t.co/ruVugB0IVC","2017-08-25",18,72851,"76257",83855,"","   BIG s spiky towers will include compact  youth rooms  with floorplans of square metres    t co ruVugB IVC"
3233716409,"I vakreste byen Oslo i Norge","Degene die bv in de Ikea moeder en zoon onthoofdde was ook een gelovige die de opdracht uit de koran uitvoerde. De… https://t.co/btTQ0EADvC","2017-08-25",1,13947,"922",909,"","Degene die bv in de Ikea moeder en zoon onthoofdde was ook een gelovige die de opdracht uit de koran uitvoerde  De     t co btTQ EADvC"
1082967332,"Oslo, Norway","RT @heyingridhey: Altså Ikea dette er jo IKKE greit https://t.co/6et8xOu1MG","2017-08-25",13,2520,"330",294,"","   Altså Ikea dette er jo IKKE greit    t co  et xOu MG"
23319109,"Oslo","RT @heyingridhey: Altså Ikea dette er jo IKKE greit https://t.co/6et8xOu1MG","2017-08-25",13,1236,"680",1001,"","   Altså Ikea dette er jo IKKE greit    t co  et xOu MG"
20627309,"Oslo","RT @ClimateReality: Going mainstream: @IKEA now sells solar panels (and batteries!) in the #UK https://t.co/hgKdNJWnQC https://t.co/roSj6Zx…","2017-08-26",34,9417,"4513",5000,"","   Going mainstream  now sells solar panels  and batteries   in the  UK    t co hgKdNJWnQC    t co roSj Zx "
