"user_id","user_location","tweet_text","tweet_created_at","tweet_retweet_count","user_statuses_count","user_followers_count","user_friends_count","tweet_place","tweet_text_clean"
2264697733,"Stockholm, Sverige","Kultur och tro: Ikea-katalogen har kommit https://t.co/FLOr2Y0PFP","2017-08-24",0,683,"333",597,"","Kultur och tro  Ikea katalogen har kommit    t co FLOr Y PFP"
66653960,"Stockholm, Sweden","@PoptartGinger Haha 😜 I have way to many. But then I live in the town with the biggest Ikea store. 5 floors. Once w… https://t.co/83WLtjaBGO","2017-08-24",0,1554,"155",472,""," Haha   I have way to many  But then I live in the town with the biggest Ikea store  floors  Once w     t co  WLtjaBGO"
66653960,"Stockholm, Sweden","@tacosaretasty1 Yeah me too feels like most of my furniture are from Ikea. Burnt then we have one of the biggest store here 5 floors ☺","2017-08-24",0,1554,"155",472,""," Yeah me too feels like most of my furniture are from Ikea  Burnt then we have one of the biggest store here floors  "
465609267,"Stockholm, Sverige","@Bubz3232 Just a simple one from IKEA. Think it's called Linnmon.","2017-08-25",0,1286,"41258",404,""," Just a simple one from IKEA  Think it s called Linnmon "
32836141,"Stockholm","@nadiaenglund1 jag trodde ikea hade samma sortiment överallt ?! https://t.co/VH3Swtpamm","2017-08-25",0,108026,"10264",617,""," jag trodde ikea hade samma sortiment överallt       t co VH Swtpamm"
549183525,"Stockholm, Sweden","RT @alyinas: IKEA has me thinking about how I'm going to design and decorate my home with my family of 4 that I don't have.","2017-08-25",20821,4474,"204",449,"","   IKEA has me thinking about how I m going to design and decorate my home with my family of that I don t have "
19348417,"Stockholm, Sweden","It's a mistake to think of India as poor. It does have millions living in poverty but enough wealthy people to brin… https://t.co/TIaVpJi2pa","2017-08-25",0,15130,"1177",904,"","It s a mistake to think of India as poor  It does have millions living in poverty but enough wealthy people to brin     t co TIaVpJi pa"
124105921,"Stockholm | Sweden","Flexade ut riktigt tidigt idag och drog till IKEA. Kvällsnöjet blir att skruva ihop en tv-bänk.","2017-08-25",0,20174,"288",469,"","Flexade ut riktigt tidigt idag och drog till IKEA  Kvällsnöjet blir att skruva ihop en tv bänk "
25555130,"Oslo - Stockholm - Copenhagen","Som om ikke det å få IKEA-katalogen i postkassa var fett nok, kan du også møte IKEA (og oss) i Oslo i... https://t.co/CZVbikWEjY","2017-08-25",0,996,"595",619,"","Som om ikke det å få IKEA katalogen i postkassa var fett nok  kan du også møte IKEA  og oss  i Oslo i       t co CZVbikWEjY"
2893438169,"Stockholm","#österåker #byggfirma #byggtjanst #ikea# @ Österåker https://t.co/SUDqmhGmKw","2017-08-25",0,159,"125",1090,"Place(_api=<tweepy.api.API object at 0x102826150>, country_code=u'SE', url=u'https://api.twitter.com/1.1/geo/id/d856e72632ff1957.json', country=u'Sweden', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x102826150>, type=u'Polygon', coordinates=[[[15.6168256, 58.9469877], [16.1574622, 58.9469877], [16.1574622, 59.1837198], [15.6168256, 59.1837198]]]), contained_within=[], full_name=u'Ving\xe5ker, Sverige', attributes={}, id=u'd856e72632ff1957', name=u'Ving\xe5ker')"," österåker  byggfirma  byggtjanst  ikea    Österåker    t co SUDqmhGmKw"
155289708,"Stockholm Bielefeld Paderborn","The Bible is there #ikea https://t.co/JOuoABivtL","2017-08-25",0,114110,"281",224,"","The Bible is there  ikea    t co JOuoABivtL"
77764622,"Stockholm","RT @planetepics: Ikea donates doll beds for cats at animal shelter https://t.co/RkkqxjVK2x","2017-08-25",385,8684,"55",98,"","   Ikea donates doll beds for cats at animal shelter    t co RkkqxjVK x"
59822117,"Stockholm, Sweden","RT @einstueckkunst: ""Manchmal muss man durch die Hölle gehen und am Ende wird man dafür belohnt.""
""Wir sind nur bei IKEA! Hier, dein Hotdog…","2017-08-25",43,2278,"59",209,"","    Manchmal muss man durch die Hölle gehen und am Ende wird man dafür belohnt  
 Wir sind nur bei IKEA  Hier  dein Hotdog "
823891530813440000,"Stockholm","4000 hours and 500 Margeritas to put together TWO Ikea bookshelves to put my TV on.. And I haven't even started prepping for the painting!","2017-08-25",0,325,"52",74,""," hours and Margeritas to put together TWO Ikea bookshelves to put my TV on   And I haven t even started prepping for the painting "
852589505681010688,"Stockholm, Sverige","E så Done med Tinder d som när man gått för många varv i Ikea o ba ""vad vare jag leta efter?"" https://t.co/m1ThzsNNqT","2017-08-25",0,496,"62",229,"","E så Done med Tinder d som när man gått för många varv i Ikea o ba  vad vare jag leta efter      t co m ThzsNNqT"
56595272,"Stockholm, Sweden","RT @decor8: View IKEA's Collection With HAY Up Close + Personal  https://t.co/O5Z9T7DIkC","2017-08-25",1,3281,"796",479,"","   View IKEA s Collection With HAY Up Close   Personal    t co O Z T DIkC"
894404523485261824,"Stockholm, Sweden","RT @Fact: In China, it is acceptable to walk into an IKEA store to relax and take a nap.","2017-08-26",90,495,"64",70,"","   In China  it is acceptable to walk into an IKEA store to relax and take a nap "
2810977565,"Stockholm, Sverige","RT @from_nina: När IKEA visar sin presentation och detta dyker upp ❤️
Tillsammans gör vi skillnad! #afvästerås #samarbetengerarbeten https:…","2017-08-26",12,331,"540",20,"","   När IKEA visar sin presentation och detta dyker upp  ️
Tillsammans gör vi skillnad   afvästerås  samarbetengerarbeten   "
19581822,"Stockholm ","@Aland72 @IKEASWE Det är nog opt-in snarare än automatik numera. Kolla hur ni valde när ni skaffade Family-kort. Tr… https://t.co/yX0iFPFucv","2017-08-26",0,11037,"716",851,""," Det är nog opt in snarare än automatik numera  Kolla hur ni valde när ni skaffade Family kort  Tr     t co yX iFPFucv"
627310763,"Stockholm","@IKEA_France 45 min on the phone without any answer. Where is our delivery?! Should have been here yesterday! Worst… https://t.co/9gXF4Od2jj","2017-08-26",3,2781,"241",567,""," min on the phone without any answer  Where is our delivery   Should have been here yesterday  Worst     t co  gXF Od jj"
882921114506231808,"Stockholm, Sverige","IKEAs familjeparkering är full med små skåpbilar. Så själv fick man ställa sig längst bort. Fair play, fair play. #ikea #sommar #lördag","2017-08-26",0,129,"29",31,"","IKEAs familjeparkering är full med små skåpbilar  Så själv fick man ställa sig längst bort  Fair play  fair play   ikea  sommar  lördag"
352992974,"Stockholm","Att köra till Ikea en lördag var inte en av mina bättre idéer.","2017-08-26",0,23023,"137",226,"","Att köra till Ikea en lördag var inte en av mina bättre idéer "
11419042,"Stockholm, Sweden","@stroemberg Såg förresesten att Ikea skickat ut årets dark katalog.","2017-08-26",0,48464,"1818",556,""," Såg förresesten att Ikea skickat ut årets dark katalog "
349087274,"Stockholm","Var på Ikea igår och kom ut med saker för 470kr, det är bra jobbat. Och inga servetter, växter eller värmeljus!","2017-08-26",1,14428,"117",103,"","Var på Ikea igår och kom ut med saker för kr  det är bra jobbat  Och inga servetter  växter eller värmeljus "
811196106210217984,"Stockholm, Sweden","RT @BANGTAN_4_LIFE: Remember when @BTS_twt went to sweden and jungkook accidentally set off the emergency alarm in ikea &amp; just ran away
htt…","2017-08-26",147,8822,"119",122,"","   Remember when went to sweden and jungkook accidentally set off the emergency alarm in ikea   just ran away
htt "
